PhysicalCard,Deck,Suit,Rank,ArtifactCategory,ArtifactId,ArtifactName
AS-A,A,Spades,A,Character (People),CHAR-01,Brawler
2S-A,A,Spades,2,Character (People),CHAR-02,Biologist
3S-A,A,Spades,3,Character (People),CHAR-03,Medic
4S-A,A,Spades,4,Character (People),CHAR-04,Engineer
5S-A,A,Spades,5,Character (People),CHAR-05,Scout
6S-A,A,Spades,6,Character (People),CHAR-06,Marksman
7S-A,A,Spades,7,Character (People),CHAR-07,Technician
8S-A,A,Spades,8,Character (People),CHAR-08,Captain
9S-A,A,Spades,9,Crab - Boss,BOSS-01,Alpha Drone
10S-A,A,Spades,10,Crab - Boss,BOSS-02,Broodmother
JS-A,A,Spades,J,Crab - Boss,BOSS-03,Ironshell
QS-A,A,Spades,Q,Crab - Boss,BOSS-04,Sandreaver
KS-A,A,Spades,K,Crab - Boss,BOSS-05,Bogfather
AH-A,A,Hearts,A,Crab - Boss,BOSS-06,Frostclaw
2H-A,A,Hearts,2,Crab - Boss,BOSS-07,Vinewarden
3H-A,A,Hearts,3,Crab - Boss,BOSS-08,Magmapincer
4H-A,A,Hearts,4,Crab - Boss,BOSS-09,Wreckstalker
5H-A,A,Hearts,5,Crab - Boss,BOSS-10,Tideshell
6H-A,A,Hearts,6,Crab - Minion,MIN-01,Skitter Crab
7H-A,A,Hearts,7,Crab - Minion,MIN-02,Pincer Runt
8H-A,A,Hearts,8,Crab - Minion,MIN-03,Shell Grub
9H-A,A,Hearts,9,Crab - Minion,MIN-04,Sand Scuttler
10H-A,A,Hearts,10,Crab - Minion,MIN-05,Reef Nipper
JH-A,A,Hearts,J,Crab - Minion,MIN-06,Claw Scrapper
QH-A,A,Hearts,Q,Crab - Minion,MIN-07,Barnacle Biter
KH-A,A,Hearts,K,Crab - Minion,MIN-08,Husk Crawler
AD-A,A,Diamonds,A,Crab - Minion,MIN-09,Tide Snapper
2D-A,A,Diamonds,2,Crab - Action,CA-01,Skitter
3D-A,A,Diamonds,3,Crab - Action,CA-02,Snap
4D-A,A,Diamonds,4,Crab - Action,CA-03,Burrow
5D-A,A,Diamonds,5,Crab - Action,CA-04,Swarm
6D-A,A,Diamonds,6,Crab - Action,CA-05,Regroup
7D-A,A,Diamonds,7,Crab - Action,CA-06,Charge
8D-A,A,Diamonds,8,Location,LOC-01,Dune Wastes
9D-A,A,Diamonds,9,Location,LOC-02,Rot Marsh
10D-A,A,Diamonds,10,Location,LOC-03,Frozen Reach
JD-A,A,Diamonds,J,Location,LOC-04,Overgrown Canopy
QD-A,A,Diamonds,Q,Location,LOC-05,Ashen Caldera
KD-A,A,Diamonds,K,Location,LOC-06,Derelict Hull
AC-A,A,Clubs,A,Location,LOC-07,Shallow Reef
2C-A,A,Clubs,2,Location,LOC-08,Shuttle
3C-A,A,Clubs,3,Equipment,EQ-01,Rusty Cleaver
4C-A,A,Clubs,4,Equipment,EQ-02,Boarding Axe
5C-A,A,Clubs,5,Equipment,EQ-03,Salvaged Spear
6C-A,A,Clubs,6,Equipment,EQ-04,Scrap Pistol
7C-A,A,Clubs,7,Equipment,EQ-05,Hunting Rifle
8C-A,A,Clubs,8,Equipment,EQ-06,Flare Gun
9C-A,A,Clubs,9,Equipment,EQ-07,Makeshift Shield
10C-A,A,Clubs,10,Equipment,EQ-08,Riot Plating
JC-A,A,Clubs,J,Equipment,EQ-09,Field Bandage
QC-A,A,Clubs,Q,Equipment,EQ-10,Medkit
KC-A,A,Clubs,K,Equipment,EQ-11,Grapple Hook
AS-B,B,Spades,A,Equipment,EQ-12,Signal Flare
2S-B,B,Spades,2,Equipment,EQ-13,Emergency Rations
3S-B,B,Spades,3,Equipment,EQ-14,Stim Injector
4S-B,B,Spades,4,Damage,DMG-01,Damage - Arms
5S-B,B,Spades,5,Damage,DMG-02,Damage - Arms
6S-B,B,Spades,6,Damage,DMG-03,Damage - Arms
7S-B,B,Spades,7,Damage,DMG-04,Damage - Arms
8S-B,B,Spades,8,Damage,DMG-05,Damage - Arms
9S-B,B,Spades,9,Damage,DMG-06,Damage - Arms
10S-B,B,Spades,10,Damage,DMG-07,Damage - Arms
JS-B,B,Spades,J,Damage,DMG-08,Damage - Arms
QS-B,B,Spades,Q,Damage,DMG-09,Damage - Legs
KS-B,B,Spades,K,Damage,DMG-10,Damage - Legs
AH-B,B,Hearts,A,Damage,DMG-11,Damage - Legs
2H-B,B,Hearts,2,Damage,DMG-12,Damage - Legs
3H-B,B,Hearts,3,Damage,DMG-13,Damage - Legs
4H-B,B,Hearts,4,Damage,DMG-14,Damage - Legs
5H-B,B,Hearts,5,Damage,DMG-15,Damage - Legs
6H-B,B,Hearts,6,Damage,DMG-16,Damage - Legs
7H-B,B,Hearts,7,Damage,DMG-17,Damage - Torso
8H-B,B,Hearts,8,Damage,DMG-18,Damage - Torso
9H-B,B,Hearts,9,Damage,DMG-19,Damage - Torso
10H-B,B,Hearts,10,Damage,DMG-20,Damage - Torso
JH-B,B,Hearts,J,Damage,DMG-21,Damage - Torso
QH-B,B,Hearts,Q,Damage,DMG-22,Damage - Torso
KH-B,B,Hearts,K,Damage,DMG-23,Damage - Torso
AD-B,B,Diamonds,A,Damage,DMG-24,Damage - Torso
2D-B,B,Diamonds,2,Damage,DMG-25,Damage - Head
3D-B,B,Diamonds,3,Damage,DMG-26,Damage - Head
4D-B,B,Diamonds,4,Damage,DMG-27,Damage - Head
5D-B,B,Diamonds,5,Damage,DMG-28,Damage - Head
6D-B,B,Diamonds,6,Unused (Reserved),,
7D-B,B,Diamonds,7,Unused (Reserved),,
8D-B,B,Diamonds,8,Unused (Reserved),,
9D-B,B,Diamonds,9,Unused (Reserved),,
10D-B,B,Diamonds,10,Unused (Reserved),,
JD-B,B,Diamonds,J,Unused (Reserved),,
QD-B,B,Diamonds,Q,Unused (Reserved),,
KD-B,B,Diamonds,K,Unused (Reserved),,
AC-B,B,Clubs,A,Unused (Reserved),,
2C-B,B,Clubs,2,Unused (Reserved),,
3C-B,B,Clubs,3,Unused (Reserved),,
4C-B,B,Clubs,4,Unused (Reserved),,
5C-B,B,Clubs,5,Unused (Reserved),,
6C-B,B,Clubs,6,Unused (Reserved),,
7C-B,B,Clubs,7,Unused (Reserved),,
8C-B,B,Clubs,8,Unused (Reserved),,
9C-B,B,Clubs,9,Unused (Reserved),,
10C-B,B,Clubs,10,Unused (Reserved),,
JC-B,B,Clubs,J,Unused (Reserved),,
QC-B,B,Clubs,Q,Unused (Reserved),,
KC-B,B,Clubs,K,Unused (Reserved),,
